relation1	relation2	percentage of overlapping predicted edges
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.7265767565767569
GNBR::Rg::Gene:Gene	STRING::OTHER::Gene:Gene	0.7247252747252746
INTACT::COLOCALIZATION::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.7199966699966701
GNBR::Rg::Gene:Gene	GNBR::I::Gene:Gene	0.7115384615384616
GNBR::Rg::Gene:Gene	GNBR::E+::Gene:Gene	0.7081743256743258
GNBR::H::Gene:Gene	STRING::OTHER::Gene:Gene	0.7066416916416918
GNBR::Rg::Gene:Gene	GNBR::B::Gene:Gene	0.7049866799866804
GNBR::B::Gene:Gene	STRING::OTHER::Gene:Gene	0.7040817515817518
GNBR::I::Gene:Gene	STRING::OTHER::Gene:Gene	0.7015318015318018
GNBR::I::Gene:Gene	GNBR::H::Gene:Gene	0.6979520479520481
GNBR::I::Gene:Gene	GNBR::E+::Gene:Gene	0.6978379953379955
GNBR::Q::Gene:Gene	GNBR::H::Gene:Gene	0.695517423752718
GNBR::V+::Gene:Gene	STRING::OTHER::Gene:Gene	0.6925765900765901
GNBR::E::Compound:Gene	GNBR::E+::Compound:Gene	0.6924207165383636
GNBR::Rg::Gene:Gene	GNBR::H::Gene:Gene	0.6922169497169497
GNBR::V+::Gene:Gene	GNBR::Rg::Gene:Gene	0.6896661671661672
GNBR::E::Compound:Gene	GNBR::K::Compound:Gene	0.6887102603279074
GNBR::Q::Gene:Gene	GNBR::Rg::Gene:Gene	0.6878546453546455
GNBR::B::Gene:Gene	GNBR::I::Gene:Gene	0.6868956043956045
INTACT::DIRECT INTERACTION::Gene:Gene	STRING::OTHER::Gene:Gene	0.6862204462204465
GNBR::I::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.6854376995553473
GNBR::H::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.6852204168380645
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	STRING::OTHER::Gene:Gene	0.6846003996003996
GNBR::Q::Gene:Gene	STRING::OTHER::Gene:Gene	0.6842582417582418
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.6839393939393941
GNBR::V+::Gene:Gene	GNBR::B::Gene:Gene	0.6813378288378291
bioarx::HumGenHumGen:Gene:Gene	STRING::OTHER::Gene:Gene	0.6797259113435588
GNBR::I::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.6795361011537482
GNBR::Q::Gene:Gene	GNBR::I::Gene:Gene	0.6783349983349986
INTACT::COLOCALIZATION::Gene:Gene	STRING::OTHER::Gene:Gene	0.678320568320569
GNBR::E+::Gene:Gene	STRING::OTHER::Gene:Gene	0.6772044622044626
GNBR::H::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.6771817887994358
GNBR::B::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.6768739593739593
GNBR::B::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.6752938727938731
STRING::OTHER::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.6750172050172053
GNBR::V+::Gene:Gene	GNBR::H::Gene:Gene	0.6735189810189811
GNBR::B::Gene:Gene	GNBR::H::Gene:Gene	0.6728271728271732
GNBR::E+::Gene:Gene	GNBR::H::Gene:Gene	0.6708814224990698
GNBR::V+::Gene:Gene	GNBR::I::Gene:Gene	0.6705094905094908
GNBR::Rg::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.6696411921411926
GNBR::B::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.6687710328886802
bioarx::HumGenHumGen:Gene:Gene	GNBR::B::Gene:Gene	0.6677135609488554
GNBR::Q::Gene:Gene	GNBR::B::Gene:Gene	0.6675016650016653
STRING::INHIBITION::Gene:Gene	STRING::PTMOD::Gene:Gene	0.6667890442890445
bioarx::HumGenHumGen:Gene:Gene	GNBR::H::Gene:Gene	0.6664310689310692
GNBR::Rg::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.6663619713619718
INTACT::COLOCALIZATION::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.6658181524357997
GNBR::H::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.664385222620517
GNBR::N::Compound:Gene	GNBR::E-::Compound:Gene	0.6639292080468553
GNBR::Q::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.6635629076805549
GNBR::Rg::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.6635395976572448
GNBR::I::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.6633863358863361
GNBR::B::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.6632017982017986
GNBR::Rg::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.6625413475413479
GNBR::I::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.6620702336878809
GNBR::V+::Gene:Gene	GNBR::Q::Gene:Gene	0.657920412920413
GNBR::I::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.6577468609821553
bioarx::DrugHumGen:Compound:Gene	DRUGBANK::target::Compound:Gene	0.6571959413135887
GNBR::Q::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.6571087246087249
GNBR::Q::Gene:Gene	GNBR::E+::Gene:Gene	0.6566608391608394
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.6566489882666358
GNBR::V+::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.6545104895104897
bioarx::HumGenHumGen:Gene:Gene	GNBR::V+::Gene:Gene	0.6544880119880122
bioarx::HumGenHumGen:Gene:Gene	GNBR::Q::Gene:Gene	0.6543015318015318
GNBR::Rg::Gene:Gene	GNBR::W::Gene:Gene	0.6536438561438564
Hetionet::GcG::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.6532282423458896
INTACT::COLOCALIZATION::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.6529609279609283
GNBR::Rg::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.6523538389714864
GNBR::I::Gene:Gene	GNBR::E::Gene:Gene	0.6522311022311027
bioarx::HumGenHumGen:Gene:Gene	GNBR::Rg::Gene:Gene	0.6518138234314709
GNBR::V+::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.6517649017649019
GNBR::I::Gene:Gene	Hetionet::GcG::Gene:Gene	0.6510585492938438
GNBR::H::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.6506882823059299
GNBR::E+::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.6506522888875831
bioarx::HumGenHumGen:Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.6504412254412257
GNBR::I::Gene:Gene	STRING::BINDING::Gene:Gene	0.6499281884266408
GNBR::B::Gene:Gene	Hetionet::GiG::Gene:Gene	0.6497857697857699
Hetionet::GcG::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.6494147519147521
GNBR::Q::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.6493995710172185
bioarx::HumGenHumGen:Gene:Gene	GNBR::W::Gene:Gene	0.6489375330551804
GNBR::H::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.6487629037629041
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.6487460578637048
GNBR::Rg::Gene:Gene	GNBR::E::Gene:Gene	0.646271865389513
GNBR::Rg::Gene:Gene	Hetionet::GcG::Gene:Gene	0.6462620712620716
GNBR::B::Gene:Gene	STRING::BINDING::Gene:Gene	0.645759126494421
GNBR::Q::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.6456474081474083
STRING::OTHER::Gene:Gene	STRING::BINDING::Gene:Gene	0.6452776428937423
GNBR::E+::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.6452353202353207
STRING::INHIBITION::Gene:Gene	STRING::OTHER::Gene:Gene	0.6451977434330377
GNBR::I::Gene:Gene	STRING::ACTIVATION::Gene:Gene	0.6437036003212476
GNBR::Rg::Gene:Gene	STRING::BINDING::Gene:Gene	0.6432709773886249
bioarx::HumGenHumGen:Gene:Gene	GNBR::I::Gene:Gene	0.6432700632700636
GNBR::E+::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.642919188654483
bioarx::HumGenHumGen:Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.6422489438665915
Hetionet::GcG::Gene:Gene	STRING::OTHER::Gene:Gene	0.6417407592407597
STRING::PTMOD::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.6416814557991034
STRING::OTHER::Gene:Gene	STRING::PTMOD::Gene:Gene	0.6415432606609083
GNBR::B::Gene:Gene	STRING::PTMOD::Gene:Gene	0.6414094239094242
GNBR::H::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.6410404301580777
bioarx::HumGenHumGen:Gene:Gene	Hetionet::GcG::Gene:Gene	0.640896407514055
INTACT::DIRECT INTERACTION::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.6402620418796894
GNBR::Rg::Gene:Gene	STRING::PTMOD::Gene:Gene	0.639981848217143
GNBR::V+::Gene:Gene	GNBR::E+::Gene:Gene	0.6397617088793567
GNBR::E+::Gene:Gene	STRING::ACTIVATION::Gene:Gene	0.6396691054043999
Hetionet::GiG::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.6396565362741836
GNBR::B::Gene:Gene	GNBR::W::Gene:Gene	0.639246586746587
GNBR::B::Gene:Gene	Hetionet::GcG::Gene:Gene	0.6390565806742283
INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene	STRING::OTHER::Gene:Gene	0.6389799089799094
STRING::ACTIVATION::Gene:Gene	STRING::OTHER::Gene:Gene	0.637525611643259
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	STRING::ACTIVATION::Gene:Gene	0.6374533799533801
bioarx::HumGenHumGen:Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.6369980019980025
GNBR::V+::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.6369536835713309
GNBR::I::Gene:Gene	STRING::PTMOD::Gene:Gene	0.6361792619145564
INTACT::PHOSPHORYLATION REACTION::Gene:Gene	STRING::OTHER::Gene:Gene	0.6361667744020688
Hetionet::GcG::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.6358403524579996
GNBR::H::Gene:Gene	STRING::BINDING::Gene:Gene	0.6352075495883549
GNBR::H::Gene:Gene	STRING::PTMOD::Gene:Gene	0.6351265401265407
GNBR::V+::Gene:Gene	STRING::ACTIVATION::Gene:Gene	0.6350965700965706
bioarx::DrugHumGen:Compound:Gene	Hetionet::CbG::Compound:Gene	0.6348151641959697
GNBR::V+::Gene:Gene	Hetionet::GcG::Gene:Gene	0.6341050616050621
GNBR::B::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.6340848857025331
INTACT::DIRECT INTERACTION::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.633988511488512
GNBR::B::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.6338632445985393
bioarx::HumGenHumGen:Gene:Gene	GNBR::E+::Gene:Gene	0.6334180525356998
Hetionet::GcG::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.6332465573642045
GNBR::Rg::Gene:Gene	STRING::ACTIVATION::Gene:Gene	0.6329154179154184
GNBR::Q::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.6319185226538171
GNBR::I::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.6318379659556134
bioarx::HumGenHumGen:Gene:Gene	STRING::ACTIVATION::Gene:Gene	0.6316325341325346
GNBR::V+::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.6313010029186504
STRING::CATALYSIS::Gene:Gene	STRING::BINDING::Gene:Gene	0.6310244167597112
Hetionet::GiG::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.6302892369068843
GNBR::H::Gene:Gene	STRING::ACTIVATION::Gene:Gene	0.630187867687868
GNBR::V+::Gene:Gene	GNBR::W::Gene:Gene	0.6301035892212368
GNBR::E+::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.6299936991113466
GNBR::B::Gene:Gene	GNBR::E+::Gene:Gene	0.6299706665883139
GNBR::H::Gene:Gene	Hetionet::GcG::Gene:Gene	0.6298474564651041
GNBR::W::Gene:Gene	STRING::OTHER::Gene:Gene	0.6296584787761261
GNBR::B::Gene:Gene	STRING::ACTIVATION::Gene:Gene	0.6291781257957734
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	STRING::PTMOD::Gene:Gene	0.6287484737484741
STRING::BINDING::Gene:Gene	STRING::PTMOD::Gene:Gene	0.6275393517730983
GNBR::E+::Gene:Gene	STRING::PTMOD::Gene:Gene	0.6275075414781303
Hetionet::GiG::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.6270674586851063
STRING::ACTIVATION::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.6269903136079611
STRING::ACTIVATION::Gene:Gene	STRING::PTMOD::Gene:Gene	0.6269469419469424
bioarx::HumGenHumGen:Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.6268152109328584
GNBR::W::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.626731601731602
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene	0.6267274392274393
INTACT::COLOCALIZATION::Gene:Gene	STRING::ACTIVATION::Gene:Gene	0.6267080142080147
INTACT::DIRECT INTERACTION::Gene:Gene	STRING::ACTIVATION::Gene:Gene	0.6266148557325032
GNBR::Q::Gene:Gene	Hetionet::GcG::Gene:Gene	0.6261628077804553
GNBR::V+::Gene:Gene	STRING::PTMOD::Gene:Gene	0.626130340247988
GNBR::E::Gene:Gene	STRING::OTHER::Gene:Gene	0.6260687351863828
GNBR::Rg::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.6253827545004018
GNBR::I::Gene:Gene	GNBR::W::Gene:Gene	0.625257242757243
STRING::ACTIVATION::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.6248599439775915
GNBR::Q::Gene:Gene	STRING::ACTIVATION::Gene:Gene	0.6248247830600774
GNBR::E+::Gene:Gene	Hetionet::GcG::Gene:Gene	0.6239433605610081
INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.6229220779220782
GNBR::W::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.6228280053280056
STRING::INHIBITION::Gene:Gene	STRING::BINDING::Gene:Gene	0.622658697511639
GNBR::I::Gene:Gene	STRING::REACTION::Gene:Gene	0.6224770490946965
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.6220925153278096
GNBR::V+::Gene:Gene	GNBR::E::Gene:Gene	0.6219511860688337
GNBR::I::Gene:Gene	INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene	0.6219158292687709
GNBR::H::Gene:Gene	GNBR::W::Gene:Gene	0.6216295632472104
GNBR::E+::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.621581196581197
GNBR::V+::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.6213616938616944
GNBR::E+::Gene:Gene	INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene	0.6210722610722611
GNBR::Q::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.6209546825723298
bioarx::HumGenHumGen:Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.6207908757908762
INTACT::COLOCALIZATION::Gene:Gene	STRING::BINDING::Gene:Gene	0.6206835648012122
INTACT::DIRECT INTERACTION::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.6206237879767296
GNBR::V+::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.6201604767781244
INTACT::COLOCALIZATION::Gene:Gene	INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene	0.6200772266948742
INTACT::PHOSPHORYLATION REACTION::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.6194685869685871
GNBR::H::Gene:Gene	INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene	0.6186729936729938
GNBR::I::Gene:Gene	INTACT::CLEAVAGE REACTION::Gene:Gene	0.6177383400912817
GNBR::Rg::Gene:Gene	STRING::CATALYSIS::Gene:Gene	0.617537315625551
GNBR::B::Gene:Gene	GNBR::E::Gene:Gene	0.6172131463307937
Hetionet::GiG::Gene:Gene	STRING::OTHER::Gene:Gene	0.6171167514975568
STRING::REACTION::Gene:Gene	STRING::BINDING::Gene:Gene	0.6170989794519209
GNBR::E::Compound:Gene	GNBR::E-::Compound:Gene	0.6170971512147988
GNBR::Rg::Gene:Gene	INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene	0.6170643245643247
GNBR::E+::Gene:Gene	STRING::BINDING::Gene:Gene	0.6168640509816986
INTACT::DIRECT INTERACTION::Gene:Gene	STRING::BINDING::Gene:Gene	0.6166814351798879
Hetionet::GcG::Gene:Gene	INTACT::CLEAVAGE REACTION::Gene:Gene	0.61588142249907
bioarx::HumGenHumGen:Gene:Gene	STRING::BINDING::Gene:Gene	0.6156571000379053
bioarx::HumGenHumGen:Gene:Gene	STRING::INHIBITION::Gene:Gene	0.615222718458013
GNBR::Rg::Gene:Gene	Hetionet::GiG::Gene:Gene	0.614839861720667
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	STRING::BINDING::Gene:Gene	0.6146998263174739
Hetionet::GcG::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.6145674586851061
GNBR::E::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.6138990421343368
INTACT::CLEAVAGE REACTION::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.6137113376819261
STRING::BINDING::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.6126947725477144
GNBR::V+::Gene:Gene	STRING::BINDING::Gene:Gene	0.6121812337988812
STRING::INHIBITION::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.6118472867002281
GNBR::Q::Gene:Gene	STRING::BINDING::Gene:Gene	0.6117352908529383
GNBR::E+::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.611508295625943
GNBR::I::Gene:Gene	Hetionet::GiG::Gene:Gene	0.6114894256070732
GNBR::Rg::Gene:Gene	INTACT::CLEAVAGE REACTION::Gene:Gene	0.6104651720828194
bioarx::HumGenHumGen:Gene:Gene	STRING::PTMOD::Gene:Gene	0.610276194393842
GNBR::W::Gene:Gene	Hetionet::GcG::Gene:Gene	0.6099568731921677
STRING::ACTIVATION::Gene:Gene	STRING::BINDING::Gene:Gene	0.6096729087905561
STRING::CATALYSIS::Gene:Gene	STRING::OTHER::Gene:Gene	0.609249802485097
INTACT::DIRECT INTERACTION::Gene:Gene	STRING::PTMOD::Gene:Gene	0.6082122289475236
GNBR::E+::Gene:Gene	GNBR::E::Gene:Gene	0.6080829954359368
STRING::REACTION::Gene:Gene	STRING::CATALYSIS::Gene:Gene	0.607998080351022
GNBR::H::Gene:Gene	GNBR::E::Gene:Gene	0.607896515249457
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	INTACT::ADP RIBOSYLATION REACTION::Gene:Gene	0.6077851560204506
GNBR::E::Gene:Gene	INTACT::DIRECT INTERACTION::Gene:Gene	0.6074065640242114
Hetionet::GiG::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.6068460134636611
GNBR::Q::Gene:Gene	GNBR::E::Gene:Gene	0.6063942430118903
GNBR::Rg::Gene:Gene	STRING::REACTION::Gene:Gene	0.6062194668077027
GNBR::H::Gene:Gene	STRING::REACTION::Gene:Gene	0.6061696310225727
GNBR::W::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.6060863809393222
GNBR::E::Gene:Gene	INTACT::PHYSICAL ASSOCIATION::Gene:Gene	0.6057024348200823
STRING::REACTION::Gene:Gene	STRING::ACTIVATION::Gene:Gene	0.6050609357962304
GNBR::B::Gene:Gene	INTACT::CLEAVAGE REACTION::Gene:Gene	0.6049230181583126
INTACT::CLEAVAGE REACTION::Gene:Gene	STRING::OTHER::Gene:Gene	0.6043764568764572
Hetionet::GiG::Gene:Gene	Hetionet::GcG::Gene:Gene	0.604157672392967
INTACT::PROTEIN CLEAVAGE::Gene:Gene	STRING::OTHER::Gene:Gene	0.6040180897533842
bioarx::HumGenHumGen:Gene:Gene	INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene	0.6038676029852506
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	INTACT::CLEAVAGE REACTION::Gene:Gene	0.6038626079802555
INTACT::PHYSICAL ASSOCIATION::Gene:Gene	STRING::CATALYSIS::Gene:Gene	0.6037892336421751
STRING::REACTION::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.6037575986105405
GNBR::H::Gene:Gene	Hetionet::GiG::Gene:Gene	0.6037210012210015
Hetionet::GcG::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.6036387468740412
bioarx::HumGenHumGen:Gene:Gene	GNBR::E::Gene:Gene	0.6030418558050138
GNBR::Q::Gene:Gene	GNBR::W::Gene:Gene	0.6030334371510845
Hetionet::GcG::Gene:Gene	STRING::ACTIVATION::Gene:Gene	0.6028666594843072
GNBR::Q::Gene:Gene	INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene	0.6025819441995917
INTACT::COLOCALIZATION::Gene:Gene	STRING::PTMOD::Gene:Gene	0.6024751065927542
GNBR::E::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.6024327306680254
GNBR::Q::Gene:Gene	STRING::PTMOD::Gene:Gene	0.6022672588849063
INTACT::COLOCALIZATION::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.6019063126416073
GNBR::Rg::Gene:Gene	Hetionet::CrC::Compound:Compound	0.6016403857580332
GNBR::V+::Gene:Gene	INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene	0.6015057981234456
GNBR::V+::Gene:Gene	Hetionet::GiG::Gene:Gene	0.6013754546107491
GNBR::H::Gene:Gene	STRING::CATALYSIS::Gene:Gene	0.6010910984440395
bioarx::HumGenHumGen:Gene:Gene	INTACT::PROTEIN CLEAVAGE::Gene:Gene	0.6007409257409262
GNBR::E+::Gene:Gene	STRING::REACTION::Gene:Gene	0.6005097353626772
GNBR::E::Gene:Gene	STRING::EXPRESSION::Gene:Gene	0.6005039078568495
GNBR::W::Gene:Gene	INTACT::PHOSPHORYLATION REACTION::Gene:Gene	0.5995508086684564
GNBR::W::Gene:Gene	GNBR::E::Gene:Gene	0.5995069430053956
GNBR::W::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.5993355500708448
Hetionet::GcG::Gene:Gene	INTACT::DEPHOSPHORYLATION REACTION::Gene:Gene	0.598638469373764
GNBR::V+::Gene:Gene	INTACT::CLEAVAGE REACTION::Gene:Gene	0.5984070341423287
INTACT::ASSOCIATION::Gene:Gene	INTACT::COLOCALIZATION::Gene:Gene	0.5982769681299096
bioarx::HumGenHumGen:Gene:Gene	Hetionet::GiG::Gene:Gene	0.5981528438881384
GNBR::E+::Gene:Gene	Hetionet::GiG::Gene:Gene	0.5980934588287536
GNBR::H::Gene:Gene	INTACT::CLEAVAGE REACTION::Gene:Gene	0.5980724830724833
Hetionet::GcG::Gene:Gene	STRING::PTMOD::Gene:Gene	0.5976368892545368
GNBR::E::Gene:Gene	Hetionet::GcG::Gene:Gene	0.5974221856574802
GNBR::E+::Gene:Gene	INTACT::CLEAVAGE REACTION::Gene:Gene	0.5971293412469887
INTACT::PHOSPHORYLATION REACTION::Gene:Gene	STRING::INHIBITION::Gene:Gene	0.5971035010740899
GNBR::E+::Gene:Gene	GNBR::W::Gene:Gene	0.5970406227759173
GNBR::Rg::Gene:Gene	INTACT::PROTEIN CLEAVAGE::Gene:Gene	0.5965948757125233
GNBR::I::Gene:Gene	STRING::CATALYSIS::Gene:Gene	0.5960992275698161
GNBR::Q::Gene:Gene	INTACT::CLEAVAGE REACTION::Gene:Gene	0.5960425358954774
GNBR::B::Gene:Gene	STRING::REACTION::Gene:Gene	0.5958949383949389
STRING::REACTION::Gene:Gene	STRING::OTHER::Gene:Gene	0.5958927347162646
