[6],Compound::DB04540,-0.122935451567173
[7],Compound::DB09341,-0.12512117624282837
[8],Compound::DB00143,-0.12561222910881042
[10],Compound::DB00515,-0.1341310441493988
[14],Compound::DB00997,-0.14285585284233093
[15],Compound::DB00171,-0.1469261348247528
[16],Compound::DB01229,-0.14909186959266663
[17],Compound::DB00477,-0.15069124102592468
[19],Compound::DB00755,-0.15511256456375122
[24],Compound::DB00502,-0.16119839251041412
[26],Compound::DB00783,-0.1685544103384018
[27],Compound::DB00295,-0.16982416808605194
[28],Compound::DB00661,-0.17014111578464508
[34],Compound::DB00675,-0.17270652949810028
[35],Compound::DB00624,-0.17352452874183655
[36],Compound::DB00363,-0.17481908202171326
[37],Compound::DB12153,-0.17557311058044434
[39],Compound::DB01708,-0.17726033926010132
[40],Compound::DB00541,-0.17793041467666626
[41],Compound::DB00959,-0.179716095328331
[44],Compound::DB00396,-0.18199630081653595
[45],Compound::DB00907,-0.18305420875549316
[46],Compound::DB04216,-0.18521440029144287
[50],Compound::DB00531,-0.19235941767692566
